port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,move_typ,terminal_id,berth_id
RUNVS,DEPARTURE,241486000,9761346,2022-03-03T19:22:00Z,departure,NA,NA
NA,DEPARTURE,273211370,9539810,2022-03-03T19:06:00Z,departure,NA,NA
RUNVS,DEPARTURE,257142000,9155767,2022-03-03T18:15:00Z,departure,NA,NA
RUNVS,DEPARTURE,636014902,9315800,2022-03-03T17:55:00Z,departure,NA,NA
RUULU,DEPARTURE,642122020,9331153,2022-03-03T16:34:00Z,departure,NA,NA
RUNVS,DEPARTURE,636018113,9592288,2022-03-03T15:39:00Z,departure,NA,NA
RUPRI,DEPARTURE,215782000,9288734,2022-03-03T10:54:00Z,departure,NA,NA
RUNJK,DEPARTURE,636012318,9292034,2022-03-03T06:06:00Z,departure,NA,NA
RUTAM,DEPARTURE,538009550,9380972,2022-03-03T00:57:00Z,departure,NA,NA
RUVYS,DEPARTURE,538005407,9696577,2022-03-03T00:38:00Z,departure,NA,NA
RUNVS,DEPARTURE,374419000,9231614,2022-03-02T23:54:00Z,departure,NA,NA
RUNVS,DEPARTURE,240127000,9280885,2022-03-02T22:17:00Z,departure,NA,NA
RUPRI,DEPARTURE,215004000,9326500,2022-03-02T21:50:00Z,departure,NA,NA
RULED,DEPARTURE,211822000,9352298,2022-03-02T20:57:00Z,departure,NA,NA
RULED,DEPARTURE,256791000,9435313,2022-03-02T20:27:00Z,departure,NA,NA
RUNVS,DEPARTURE,636091604,9391385,2022-03-02T20:00:00Z,departure,NA,NA
RUULU,DEPARTURE,636012813,9305568,2022-03-02T19:06:00Z,departure,NA,NA
RUKOZ,DEPARTURE,413848000,9846005,2022-03-02T17:52:00Z,departure,NA,NA
RUNVS,DEPARTURE,248902000,9379612,2022-03-02T15:56:00Z,departure,NA,NA
RUPRI,DEPARTURE,248024000,9737400,2022-03-02T13:56:00Z,departure,NA,NA
RUSAB,DEPARTURE,273436640,9171175,2022-03-02T13:37:00Z,departure,NA,NA
RUULU,DEPARTURE,240235000,9276597,2022-03-02T10:48:00Z,departure,NA,NA
RUPRI,DEPARTURE,218057000,9380477,2022-03-02T05:21:00Z,departure,NA,NA
RUVYS,DEPARTURE,240716000,9380831,2022-03-02T01:06:00Z,departure,NA,NA
RUSKA,DEPARTURE,273350980,9038969,2022-03-01T23:44:00Z,departure,NA,NA
RUULU,DEPARTURE,240147000,9276561,2022-03-01T22:21:00Z,departure,NA,NA
RUPRI,DEPARTURE,636021543,9235892,2022-03-01T21:09:00Z,departure,NA,NA
RUKOZ,DEPARTURE,538009108,9388730,2022-03-01T19:56:00Z,departure,NA,NA
RULED,DEPARTURE,240435000,9297321,2022-03-01T18:47:00Z,departure,NA,NA
RUTAM,DEPARTURE,538009550,9380972,2022-03-01T18:04:00Z,departure,NA,NA
RUNVS,DEPARTURE,311000903,9878905,2022-03-01T17:09:00Z,departure,NA,NA
RUNVS,DEPARTURE,215504000,9326524,2022-03-01T12:34:00Z,departure,NA,NA
RUDKA,DEPARTURE,209225000,9301419,2022-03-01T06:44:00Z,departure,NA,NA
NA,DEPARTURE,436000393,9323091,2022-03-01T03:32:00Z,departure,NA,NA
RUPRI,DEPARTURE,538005401,9686883,2022-03-01T01:37:00Z,departure,NA,NA
