port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,load_status,port_operation,draught,terminal_id,berth_id
RUULU,departure,249856000,9776767,2022-03-04T13:03:00Z,fully_laden,load,14.3,NA,NA
RUNVS,departure,538008919,9895226,2022-03-04T11:07:00Z,fully_laden,load,16.1,NA,NA
RUVVO,departure,273453790,9166314,2022-03-04T08:07:00Z,fully_laden,none,8,NA,NA
RUVVO,departure,273453790,9166314,2022-03-04T06:49:00Z,fully_laden,load,8,NA,NA
RUDKA,departure,209595000,9301407,2022-03-04T05:54:00Z,fully_laden,load,14.3,NA,NA
RUARH,departure,273292090,9183831,2022-03-04T03:48:00Z,fully_laden,none,8.2,NA,NA
RUPKC,departure,273210470,9163764,2022-03-04T01:23:00Z,partially_laden,discharge,7.3,NA,NA
RUNJK,departure,215919000,9874507,2022-03-03T21:24:00Z,partially_laden,load,11.3,NA,NA
RUVYS,departure,538002579,9312913,2022-03-03T21:22:00Z,fully_laden,load,9.8,NA,NA
RUVNN,departure,273377130,8411255,2022-03-03T20:50:00Z,fully_laden,load,8.4,NA,NA
RUPRI,departure,538009840,9318034,2022-03-03T20:33:00Z,fully_laden,load,10.3,NA,NA
RUTUA,departure,538005983,9735634,2022-03-03T19:50:00Z,partially_laden,load,9.1,NA,NA
RUNVS,departure,241486000,9761346,2022-03-03T19:22:00Z,fully_laden,load,15.6,NA,NA
NA,departure,273211370,9539810,2022-03-03T19:06:00Z,fully_laden,none,6.5,NA,NA
RUNVS,departure,257142000,9155767,2022-03-03T18:15:00Z,fully_laden,load,12.4,NA,NA
RUNVS,departure,636014902,9315800,2022-03-03T17:55:00Z,fully_laden,load,10.7,NA,NA
RUULU,departure,642122020,9331153,2022-03-03T16:34:00Z,fully_laden,load,14.3,NA,NA
RUNVS,departure,636018113,9592288,2022-03-03T15:39:00Z,fully_laden,load,11.8,NA,NA
RUPRI,departure,215782000,9288734,2022-03-03T10:54:00Z,fully_laden,load,14.9,NA,NA
RUNJK,departure,636012318,9292034,2022-03-03T06:06:00Z,partially_laden,load,9.5,NA,NA
RUTAM,departure,538009550,9380972,2022-03-03T00:57:00Z,fully_laden,none,9.2,NA,NA
RUVYS,departure,538005407,9696577,2022-03-03T00:38:00Z,fully_laden,load,11.4,NA,NA
RUNVS,departure,374419000,9231614,2022-03-02T23:54:00Z,fully_laden,load,11.6,NA,NA
RUNVS,departure,240127000,9280885,2022-03-02T22:17:00Z,fully_laden,load,16.5,NA,NA
RUPRI,departure,215004000,9326500,2022-03-02T21:50:00Z,partially_laden,load,10.2,NA,NA
RULED,departure,211822000,9352298,2022-03-02T20:57:00Z,fully_laden,load,10.9,NA,NA
RULED,departure,256791000,9435313,2022-03-02T20:27:00Z,fully_laden,load,7.1,NA,NA
RUNVS,departure,636091604,9391385,2022-03-02T20:00:00Z,fully_laden,load,10.9,NA,NA
