name,imo,country,registration_iso2
SWISS PETROCHEMICAL INVESTMENT,6043642,Liberia,LR
XIANG T114 HK INTERNATIONAL,6193122,Hong Kong (China),HK
FISHER MARITIME CO,5969982,Marshall Islands,MH
VERNON MARINE LTD,5847516,Marshall Islands,MH
GOLDEN DRY BULK CO LTD,6199838,Malta,MT
FPMC 202 MARINE CORP,5637436,Liberia,LR
ANNA-BARBARA SCHIFFAHRTS,5419869,Germany,DE
BIRDIE SHIPPING LTD,1560738,Malta,MT
POLAR 19 LTD,6287225,Bermuda,BM
CORAL ENERGY SHIPPING BV,5703306,Netherlands,NL
AEGINA SHIPPING LTD,5881296,Malta,MT
DA SELATAR SHIPPING LTD,6315630,Marshall Islands,MH
EVERGREEN SHIPPING HOLDINGS,4201057,Liberia,LR
FORTUNE KUN SHIPPING LTD,5924371,Marshall Islands,MH
FORTUNE MARINE LTD,5875142,Malta,MT
HAI KUO SHIPPING 2136T LTD,6256364,Hong Kong (China),HK
HAONIAN INTERNATIONAL SHIP,5936374,Hong Kong (China),HK
OCY GUARD LTD,6272086,Malta,MT
STI SPIGA SHIPPING CO LTD,5863825,Marshall Islands,MH
XIANG T27 SG INTERNATIONAL,5988991,Singapore,SG
GREAT NAVIGATION LTD,6081831,Marshall Islands,MH
CAROUZO SHIPTRADE LTD,6176518,Marshall Islands,MH
SIGMA NAVIGATION CORP,5305542,Liberia,LR
FRONT APHRODITE INC,5885581,Liberia,LR
FRONT HEBE INC,5896599,Liberia,LR
FRONT HERA INC,5896625,Liberia,LR
FRONT FUSION INC,6190821,Liberia,LR
FRONT COUGAR INC,5887193,Liberia,LR
DEV LINES INC,6315127,Marshall Islands,MH
SPASTIC OCEANWAY LTD,6281291,Liberia,LR
ARMADA SHIPTRADE CO,6275651,Marshall Islands,MH
EVERLY HOLDINGS VENTURES INC,6048630,Liberia,LR
DUGI OTOK SHIPPING LLC,5956655,Marshall Islands,MH
IONIC ARTEMIS INC,6036994,Marshall Islands,MH
LUNA SEAWAYS INC,5930534,Liberia,LR
IONIC ASPIS INC,6037017,Marshall Islands,MH
SILENE SHIPPING LTD,5679031,Liberia,LR
REDBUD SHIPPING CO LTD,6289354,Marshall Islands,MH
IVORA SHIPPING CO LTD,6091356,Cyprus,CY
NEW TREND LTD,6264245,Liberia,LR
THEMIS LTD-MAI,6163123,Marshall Islands,MH
COOPER NAVIGATION LTD,5729121,Marshall Islands,MH
RIALTO NAVIGATION SA,5201267,Marshall Islands,MH
SEMPREVIVA SHIPPING,1785069,Malta,MT
JACOB MARINE INC,6221979,Panama,PA
SKYLLA NAVIGATION CORP,6314384,Marshall Islands,MH
CRUDE PETROLEUM VENTURES SA,6311981,Marshall Islands,MH
MOSS ENTERPRISES CO,5667470,Marshall Islands,MH
LONGITUDE MARITIME COMPANY SA,6204953,Panama,PA
SEA COUNTESS SA,4109849,Panama,PA
ZOE M ENE,5114436,Greece,GR
SAGAR SHIPHOLDING SA,6334890,Marshall Islands,MH
OCEANUS OWNING CO LTD,5286034,Marshall Islands,MH
MINAJ SHIPPING LLC,6074199,Marshall Islands,MH
NOBLE SPIRIT MARINE SA,4117181,Marshall Islands,MH
SWISS LEGEND MARITIME SA,5998277,Panama,PA
ALBERTI MARINE INC,5645321,Liberia,LR
ELLIE M ENE,5241731,Greece,GR
KANDITA SHIPMANAGEMENT LTD,5589531,Cyprus,CY
MIST MARITIME INC,5934687,Liberia,LR
PALOMAR TRANSPORT SA,5934691,Liberia,LR
CORAL ENERGICE SHIPPING BV,6025341,Netherlands,NL
FOREST LAKE MARITIME SA,6328763,Panama,PA
